Genus,Species,Strain,Fasta,FastaFolder,Fastq,FastqFolder,ReferenceGenome,Kingdom,Phylum,Class,Order,Family,file,type
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/insulation/HD100_bdellovibrio_FO69_insulation.bed,insulation
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/borders/HD100_bdellovibrio_FO69_borders.bed,borders
Bdellovibrio,bacteriovorus,NA,HD100_bdellovibrio,bacteria/Bdellovibrio,FO69,1_BACTERIA/Bdellovibrio_Ecoli,NA,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Pseudobdellovibrionaceae,results/chromosight/HD100_bdellovibrio_FO69_loops.tsv,chromosight
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,ref/B_animalis_v2.fa,assembly
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/cool/B_animalis_v2_MM84.mcool,cool
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/distance_law/B_animalis_v2_MM84_distance_law.csv,distance_law
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/pairs/B_animalis_v2_MM84.pairs,pairs
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/macrodomains/B_animalis_v2_MM84_macrodomains.bed,macrodomains
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/DI/B_animalis_v2_MM84_DI.bed,DI
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/insulation/B_animalis_v2_MM84_insulation.bed,insulation
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/borders/B_animalis_v2_MM84_borders.bed,borders
Bifidobacterium,animalis,YL22,B_animalis_v2,metagenomics/OligoMM12/corrected_fasta,MM84,2_METAG/OMM,GCA_023278655.1,Bacteria,Actinobacteria,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,results/chromosight/B_animalis_v2_MM84_loops.tsv,chromosight
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,ref/B_coccoides.fa,assembly
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/cool/B_coccoides_MM18.mcool,cool
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/distance_law/B_coccoides_MM18_distance_law.csv,distance_law
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/pairs/B_coccoides_MM18.pairs,pairs
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/macrodomains/B_coccoides_MM18_macrodomains.bed,macrodomains
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/DI/B_coccoides_MM18_DI.bed,DI
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/insulation/B_coccoides_MM18_insulation.bed,insulation
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/borders/B_coccoides_MM18_borders.bed,borders
Blautia,pseudococcoides,YL58,B_coccoides,metagenomics/OligoMM12,MM18,2_METAG/OMM,GCA_016696745.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,results/chromosight/B_coccoides_MM18_loops.tsv,chromosight
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,ref/B_bronchiseptica_RB50.fa,assembly
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/cool/B_bronchiseptica_RB50_MM155.mcool,cool
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/distance_law/B_bronchiseptica_RB50_MM155_distance_law.csv,distance_law
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/pairs/B_bronchiseptica_RB50_MM155.pairs,pairs
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/macrodomains/B_bronchiseptica_RB50_MM155_macrodomains.bed,macrodomains
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/DI/B_bronchiseptica_RB50_MM155_DI.bed,DI
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/insulation/B_bronchiseptica_RB50_MM155_insulation.bed,insulation
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/borders/B_bronchiseptica_RB50_MM155_borders.bed,borders
Bordetella,bronchiseptica,RB50,B_bronchiseptica_RB50,bacteria/bordetella/bronchiseptica/RB50,MM155,1_BACTERIA/Mix_bacteria,GCA_000195675.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/chromosight/B_bronchiseptica_RB50_MM155_loops.tsv,chromosight
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,ref/B_petrii_DSM12804.fa,assembly
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/cool/B_petrii_DSM12804_MM117.mcool,cool
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/distance_law/B_petrii_DSM12804_MM117_distance_law.csv,distance_law
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/pairs/B_petrii_DSM12804_MM117.pairs,pairs
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/macrodomains/B_petrii_DSM12804_MM117_macrodomains.bed,macrodomains
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/DI/B_petrii_DSM12804_MM117_DI.bed,DI
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/insulation/B_petrii_DSM12804_MM117_insulation.bed,insulation
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/borders/B_petrii_DSM12804_MM117_borders.bed,borders
Bordetella,petrii,DSM 12804,B_petrii_DSM12804,bacteria/bordetella/petrii/DSM_12804,MM117,1_BACTERIA/Mix_bacteria,GCA_000067205.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,results/chromosight/B_petrii_DSM12804_MM117_loops.tsv,chromosight
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,ref/B_burgdorferi_B31.fa,assembly
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/cool/B_burgdorferi_B31_MM116.mcool,cool
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/distance_law/B_burgdorferi_B31_MM116_distance_law.csv,distance_law
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/pairs/B_burgdorferi_B31_MM116.pairs,pairs
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/macrodomains/B_burgdorferi_B31_MM116_macrodomains.bed,macrodomains
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/DI/B_burgdorferi_B31_MM116_DI.bed,DI
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/insulation/B_burgdorferi_B31_MM116_insulation.bed,insulation
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/borders/B_burgdorferi_B31_MM116_borders.bed,borders
Borreliella,burgdorferi,B31,B_burgdorferi_B31,bacteria/borreliella/burgdorferi/B31,MM116,1_BACTERIA/Mix_bacteria,GCA_000008685.2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,results/chromosight/B_burgdorferi_B31_MM116_loops.tsv,chromosight
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,ref/Brucella_antrophi_ATCC_49188_VJ.fa,assembly
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/cool/Brucella_antrophi_ATCC_49188_VJ_MM117.mcool,cool
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/distance_law/Brucella_antrophi_ATCC_49188_VJ_MM117_distance_law.csv,distance_law
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/pairs/Brucella_antrophi_ATCC_49188_VJ_MM117.pairs,pairs
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/macrodomains/Brucella_antrophi_ATCC_49188_VJ_MM117_macrodomains.bed,macrodomains
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/DI/Brucella_antrophi_ATCC_49188_VJ_MM117_DI.bed,DI
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/insulation/Brucella_antrophi_ATCC_49188_VJ_MM117_insulation.bed,insulation
Brucella,antrophi,ATCC 49188,Brucella_antrophi_ATCC_49188_VJ,bacteria/brucella/antrophi/ATCC49188,MM117,1_BACTERIA/Mix_bacteria,GCA_000017405.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,results/chromosight/Brucella_antrophi_ATCC_49188_VJ_MM117_loops.tsv,chromosight
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,ref/Burkholderia_cepacia_ATCC_25416.fa,assembly
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/cool/Burkholderia_cepacia_ATCC_25416_MM133.mcool,cool
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/distance_law/Burkholderia_cepacia_ATCC_25416_MM133_distance_law.csv,distance_law
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/pairs/Burkholderia_cepacia_ATCC_25416_MM133.pairs,pairs
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/macrodomains/Burkholderia_cepacia_ATCC_25416_MM133_macrodomains.bed,macrodomains
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/DI/Burkholderia_cepacia_ATCC_25416_MM133_DI.bed,DI
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/insulation/Burkholderia_cepacia_ATCC_25416_MM133_insulation.bed,insulation
Burkholderia,cepacia,ATCC 25416,Burkholderia_cepacia_ATCC_25416,bacteria/burkholderia/cepacia/ATCC25416,MM133,2_METAG/Mock_Community,GCA_009586235.1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,results/chromosight/Burkholderia_cepacia_ATCC_25416_MM133_loops.tsv,chromosight
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,ref/Cereibacter_sphaeroides_241.fa,assembly
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/cool/Cereibacter_sphaeroides_241_MM165.mcool,cool
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/distance_law/Cereibacter_sphaeroides_241_MM165_distance_law.csv,distance_law
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/pairs/Cereibacter_sphaeroides_241_MM165.pairs,pairs
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/macrodomains/Cereibacter_sphaeroides_241_MM165_macrodomains.bed,macrodomains
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/DI/Cereibacter_sphaeroides_241_MM165_DI.bed,DI
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/insulation/Cereibacter_sphaeroides_241_MM165_insulation.bed,insulation
Cereibacter,sphaeroides,KD131-241,Cereibacter_sphaeroides_241,bacteria/cereibacter/sphaeroides/241,MM165,1_BACTERIA/Mix_bacteria,GCA_000021005.1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,results/chromosight/Cereibacter_sphaeroides_241_MM165_loops.tsv,chromosight
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,ref/C_difficile_630.fa,assembly
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/cool/C_difficile_630_MM116.mcool,cool
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/distance_law/C_difficile_630_MM116_distance_law.csv,distance_law
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/pairs/C_difficile_630_MM116.pairs,pairs
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/macrodomains/C_difficile_630_MM116_macrodomains.bed,macrodomains
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/DI/C_difficile_630_MM116_DI.bed,DI
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/insulation/C_difficile_630_MM116_insulation.bed,insulation
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/borders/C_difficile_630_MM116_borders.bed,borders
Clostridiodes,difficile,630,C_difficile_630,bacteria/clostridiodes/difficile/630,MM116,1_BACTERIA/Mix_bacteria,GCA_000009205.2,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,results/chromosight/C_difficile_630_MM116_loops.tsv,chromosight
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,ref/C_innocuum.fa,assembly
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/cool/C_innocuum_MM17.mcool,cool
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/distance_law/C_innocuum_MM17_distance_law.csv,distance_law
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/pairs/C_innocuum_MM17.pairs,pairs
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/macrodomains/C_innocuum_MM17_macrodomains.bed,macrodomains
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/DI/C_innocuum_MM17_DI.bed,DI
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/insulation/C_innocuum_MM17_insulation.bed,insulation
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/borders/C_innocuum_MM17_borders.bed,borders
Clostridium,innocuum,I46,C_innocuum,metagenomics/OligoMM12,MM17,2_METAG/OMM,GCA_016697325.1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,results/chromosight/C_innocuum_MM17_loops.tsv,chromosight
Clostridium,perfringens,13,C_perfringens_13,bacteria/clostridium/perfringens/13,MM117,1_BACTERIA/Mix_bacteria,GCA_000009685.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,ref/C_perfringens_13.fa,assembly
Clostridium,perfringens,13,C_perfringens_13,bacteria/clostridium/perfringens/13,MM117,1_BACTERIA/Mix_bacteria,GCA_000009685.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,results/cool/C_perfringens_13_MM117.mcool,cool
